"qb","seasons_played","dropbacks","effectiveness","avg_decision_rate","avg_epa","avg_turnover_rate","avg_time_to_throw","avg_touchdowns","decision_effiency_index"
"B.Purdy",2,1062,535,0.502396623265131,0.218365331022624,0.0284912004578623,2.90605027393207,25.5,61.2721482611008
"P.Mahomes",4,3088,1530,0.49474783853423,0.156117953607238,0.0245452469895935,2.86883093845496,32.75,60.9612326084359
"T.Tagovailoa",4,1881,918,0.48924884542244,0.154874501910482,0.0251492338568168,2.47829049756587,22.25,56.8396435641138
"J.Garoppolo",2,872,420,0.484112002516911,0.164766742630178,0.031500707881076,2.66349599346665,18,53.7974392141053
"J.Goff",4,2500,1214,0.48382888708694,0.119374488468695,0.0237019778535892,2.75978536935014,28.75,56.7767457153901
"J.Allen",4,2646,1267,0.478684718446435,0.158634933193374,0.0263832377976243,2.88961004141655,32,58.8635127518354
"J.Burrow",4,2591,1240,0.476553028464844,0.0980515484440823,0.0245415142366961,2.61311560261712,31.75,56.3504219279499
"T.Brady",2,1666,792,0.475291988055296,0.101534070223919,0.0210055572850011,2.46057684387433,34,58.1339150362267
"A.Dalton",1,404,192,0.475247524752475,0.0180227000501177,0.0321782178217822,2.62707166803538,18,45.5450114684153
"D.Prescott",4,2166,1036,0.470628914433261,0.0864650924439143,0.0284151270933134,2.74280433987264,26.75,52.3382683217795
"M.Stafford",4,2325,1101,0.470309119460734,0.0733805624521874,0.0263328175572867,2.73946471780435,23.75,50.7710879994811
"G.Smith",3,1815,850,0.468054007634733,0.025709010036219,0.026108521806269,2.82863026039102,23.6666666666667,47.9839791402286
"L.Jackson",4,1877,884,0.467357030806276,0.10909000085099,0.0270247240010234,3.02862177615477,24.5,51.8792509707141
"J.Love",2,1142,523,0.457538500338897,0.13003643836555,0.0280496839583235,2.8322733693159,28.5,53.7836726197869
"K.Murray",3,1538,710,0.456650717703349,0.0355016223522037,0.0228176501860712,2.75263414996662,19.6666666666667,46.3789037267679
"K.Cousins",4,2120,968,0.454983676985818,0.0611383767299992,0.0288046046039247,2.7951183826538,24.5,48.4443590791855
"R.Tannehill",2,961,437,0.452581135291883,0.0285012074251373,0.0302444944736281,2.72732404970317,17,43.4918516299947
"J.Daniels",1,648,291,0.449074074074074,0.115589897881445,0.0216049382716049,2.6797531556457,25,52.0866552494475
"J.Herbert",4,2558,1149,0.448109130424422,0.0664968882603141,0.0218601392797744,2.86005696305767,26.5,49.7366226373764
"A.Rodgers",3,1522,667,0.448031343180085,0.0737160203412555,0.0204445195663731,2.67672343165308,30.3333333333333,52.2021438701425
"T.Bridgewater",1,460,206,0.447826086956522,0.113098415192511,0.0173913043478261,2.87704851174062,18,49.2747367796226
"D.Ridder",1,420,187,0.445238095238095,-0.0919567394188416,0.0404761904761905,2.73430041651299,12,33.1859431484129
"T.Lawrence",4,2247,1008,0.443510600730275,-0.0135147493541411,0.0351150161035635,2.65414196145541,17.25,39.9997862668751
"M.Mariota",1,326,144,0.441717791411043,-0.0206033688612956,0.0368098159509202,2.97216957791458,15,37.6757991495723
"D.Maye",1,374,165,0.441176470588235,-0.0838573879999154,0.0401069518716578,2.74376784270783,15,34.4211991926634
"J.Hurts",4,2211,974,0.440387727085913,0.0751272263767311,0.0249976148395339,2.9992792495763,19.75,45.9469333023452
"J.Brissett",1,391,172,0.439897698209719,0.0353653716537494,0.0281329923273657,2.89665719159987,12,40.5447751713548
"M.Ryan",2,1103,486,0.439600997010295,-0.0597302383089612,0.0355632378969977,2.74074357730721,17,36.9576149464173
"D.Carr",3,1835,802,0.434902252460574,0.0344946705280531,0.0268426297195112,2.82573408417603,24,45.1370961461813
"S.Darnold",2,1085,474,0.430114072187076,-0.0880996097207882,0.0328740420680774,2.9769051712171,22,36.5215100800223
"B.Mayfield",4,2159,949,0.429196200643022,0.0198359335944499,0.0315149247921363,2.76264200539822,24,43.2588940144078
"C.Stroud",2,1243,532,0.429069948590123,0.0410350623475344,0.0207171418185595,2.99670575964988,21.5,44.4577651843053
"G.Minshew",2,860,362,0.423600070658894,-0.0748365202596617,0.0328022519673374,2.71360815848812,12,33.0706269408295
"T.Heinicke",1,532,225,0.422932330827068,-0.079180301268442,0.037593984962406,3.00057381459418,20,34.6939726457354
"M.Jones",3,1436,612,0.422190532278007,-0.0719260063673389,0.0368174114488745,2.61968674366639,15.3333333333333,33.9941010381031
"D.Jones",3,1338,562,0.415761208645685,-0.0426029051575327,0.0239383343926756,2.78528737331887,11,34.6846507011528
"A.O'Connell",1,367,151,0.411444141689373,-0.0603191633525161,0.0299727520435967,2.79586955472931,12,32.8408040853134
"B.Nix",1,615,252,0.409756097560976,0.0165591793334916,0.0260162601626016,2.91901073143463,29,43.6631082355127
"C.Rush",1,321,129,0.401869158878505,-0.101521299297465,0.0280373831775701,2.54421180406218,12,30.6168198382174
"C.Wentz",2,861,353,0.401663852539749,-0.0582070294286822,0.0270507949908541,2.6900346603496,19,35.4183452132135
"K.Pickett",2,764,308,0.401474785589396,-0.0774793956615522,0.0191950186248695,2.9046270039479,6.5,30.1850019742358
"J.Winston",1,326,130,0.398773006134969,-0.0924041574721366,0.0460122699386503,2.80636340863788,13,27.9425254318168
"R.Wilson",4,1865,739,0.398737913576021,-0.0396179945425242,0.0254313542828117,2.91141800631819,20.75,36.5553524754177
"S.Howell",1,679,270,0.397643593519882,-0.175949913978225,0.0368188512518409,2.84402561102089,21,28.155984743259
"D.Mills",2,935,365,0.392478676660636,-0.131147210159023,0.0319642395598715,2.71705972449138,16.5,29.061751775149
"J.Dobbs",1,450,175,0.388888888888889,-0.181312571490551,0.0333333333333333,2.94768333855639,13,24.1278936372486
"B.Roethlisberger",1,692,269,0.388728323699422,-0.0839441610677557,0.0245664739884393,2.37558156815853,22,35.0394900819715
"C.Williams",1,636,241,0.378930817610063,-0.0889985273748756,0.0172955974842767,2.92584944871808,20,32.9971168721849
"J.Fields",3,1097,408,0.37256997766299,-0.182072015816035,0.04159977197636,3.08862360820924,13.3333333333333,21.0695172959581
"B.Young",2,1003,360,0.361939502800949,-0.176870707092625,0.0277162635433839,2.83497630999622,13,22.7230227739636
"Z.Wilson",2,842,303,0.359964893863199,-0.240443748419818,0.0296793601878347,2.94555587533396,8.5,17.0312861864859
"W.Levis",1,344,119,0.34593023255814,-0.190462012035645,0.0436046511627907,2.6691887790593,13,18.3908474214945
